Database,Duplicate ID,Isolation Level,Transaction Mode,# Transaction,BEGIN,START TRANSACTION / XA START,START TRANSACTION WITH CONSISTENT SNAPSHOT / START TRANSACTION READ ONLY,SET AUTOCOMMIT=0,COMMIT / XA COMMIT,ROLLBACK / XA ROLLBACK,SELECT,SELECT ... FOR SHARE,SELECT ... FOR UPDATE / FOR UPDATE SKIP LOCKED,INSERT,REPLACE / REPLACE ... SELECT,UPDATE,DELETE,ALTER,CREATE / DROP TABLE / TABLESPACE / TEMPORARY TABLE / SEQUENCE,CHECK TABLE,SHOW,SET,COMMENT ON,RESET,SAVEPOINT / ROLLBACK TO,ANALYZE,ADMIN,EXPLAIN,Cluster,Key,Index,Data Constraint,Partition,Deterministic?,id
MariaDB,-,unspecified,Pessimistic,2,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,Yes,Yes,-,-,-,-,-,Yes,-,-,-,-,Yes,Yes,-,-,Yes,MariaDB_MDEV-25297
MariaDB,-,"READ COMMITTED
REPEATABLE READ",Pessimistic,3,-,-,-,Yes,-,-,Yes,Yes,-,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,Yes,-,"NOT NULL
DEFAULT NULL
AUTO_INCREMENT",-,Yes,MariaDB_MDEV-18044
MariaDB,-,unspecified,Pessimistic,3,-,Yes,-,-,Yes,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,MariaDB_MDEV-24545
MariaDB,-,unspecified,Pessimistic,3,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,MariaDB_MDEV-29187
MariaDB,-,unspecified,Pessimistic,2,-,Yes,-,-,-,Yes,Yes,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,MariaDB_MDEV-28944
MariaDB,-,ALL,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,Yes,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,MariaDB_MDEV-27992
MariaDB,-,unspecified,Pessimistic,3,-,Yes,-,-,Yes,Yes,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,"NOT NULL
DEFAULT NULL",-,Yes,MariaDB_MDEV-29123
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,Yes,Yes,-,-,-,-,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_36581
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,Yes,Yes,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,NOT NULL,-,Yes,TiDB_36438
TiDB,-,unspecified,Pessimistic,1,Yes,-,-,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,-,Yes,TiDB_36235
TiDB,-,unspecified,Pessimistic,3,Yes,-,-,-,Yes,Yes,Yes,-,Yes,-,-,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_35682
TiDB,-,READ COMMITTED,Pessimistic,2,Yes,-,-,-,-,-,-,-,Yes,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,NOT NULL,-,Yes,TiDB_34978
TiDB,-,REPEATABLE READ,Pessimistic,2,-,Yes,-,-,Yes,-,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,"NOT NULL
DEFAULT NULL",-,Yes,TiDB_30361
TiDB,-,REPEATABLE READ,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_28212
TiDB,-,unspecified,Pessimistic,3,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_28095
TiDB,-,unspecified,Pessimistic,1,Yes,-,-,-,Yes,-,-,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,NOT NULL,-,Yes,TiDB_27564
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_25176
TiDB,-,unspecified,Optimistic,1,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,-,Yes,TiDB_24195
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_22345
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_21688
TiDB,-,REPEATABLE READ,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_21506
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_34289
TiDB,-,unspecified,Pessimistic,3,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_31203
TiDB,-,unspecified,Optimistic,2,Yes,-,-,-,Yes,-,-,-,-,Yes,-,Yes,Yes,-,-,-,-,-,-,-,-,-,Yes,-,-,Yes,Yes,-,-,Yes,TiDB_30410
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,-,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_29160
TiDB,-,unspecified,Pessimistic,1,Yes,-,-,-,Yes,-,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,Yes,Yes,TiDB_28073
TiDB,-,unspecified,Both,3,-,-,-,Yes,Yes,-,-,-,Yes,Yes,-,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,Yes,-,Yes,Yes,TiDB_27156
TiDB,-,unspecified,Pessimistic,3,Yes,-,-,-,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,Yes,Yes,TiDB_26973
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,Yes,Yes,TiDB_26251
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,DEFAULT NULL,-,Yes,TiDB_26203
TiDB,-,unspecified,Pessimistic,1,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_23380
TiDB,-,unspecified,Pessimistic,1,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,"NOT NULL
DEFAULT '759.3040284831991'",-,Yes,TiDB_23753
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,"No, need control",TiDB_23363
TiDB,-,unspecified,Pessimistic,1,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,-,Yes,TiDB_23179
TiDB,-,unspecified,Pessimistic,1,-,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_22658
TiDB,-,unspecified,Pessimistic,1,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_21722
TiDB,-,ALL,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_21658
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,Yes,Yes,TiDB_21618
TiDB,-,ALL,Pessimistic,2,Yes,-,-,-,-,-,Yes,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,Yes,-,Yes,Yes,-,-,Yes,TiDB_21498
TiDB,-,unspecified,Pessimistic,3,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_21470
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,DEFAULT NULL,-,Yes,TiDB_21447
TiDB,-,unspecified,Pessimistic,2,-,-,-,Yes,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_21284
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_21274
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,Yes,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_21218
TiDB,-,READ COMMITTED,Pessimistic,2,Yes,-,-,-,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,NOT NULL,-,Yes,TiDB_21151
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,TiDB_20975
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,Yes,-,-,Yes,-,AUTO_INCREMENT,-,Yes,TiDB_20910
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,Yes,Yes,-,-,-,-,-,-,-,Yes,-,-,Yes,-,"NOT NULL
DEFAULT NULL",-,"No, need repeat",TiDB_20899
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,NOT NULL,-,Yes,TiDB_20881
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,Yes,-,Yes,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_20773
TiDB,-,REPEATABLE READ,Pessimistic,3,Yes,-,-,-,Yes,-,-,-,-,Yes,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_20692
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,-,-,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_20535
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,Yes,-,-,Yes,-,-,-,Yes,TiDB_20002
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,Yes,Yes,TiDB_19585
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,-,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_19194
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_19136
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,-,-,Yes,TiDB_19104
TiDB,-,unspecified,Pessimistic,3,Yes,-,-,-,Yes,-,Yes,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_19063
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,-,-,Yes,TiDB_18958
TiDB,-,unspecified,Pessimistic,1,Yes,-,-,-,-,Yes,-,-,-,Yes,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,"NOT NULL
DEFAULT NULL",-,Yes,TiDB_18956
TiDB,-,unspecified,Pessimistic,2,Yes,-,-,-,-,-,-,-,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,NOT NULL,-,Yes,TiDB_17851
